06-25 18:23:33 network      INFO     Node ID: 0; DHT: True; Routing Table Nodes: {}; backupLocations: {}
06-25 18:23:33 Node 0       INFO     Node ID: 0; DHT: True; Routing Table Nodes: {}; backupLocations: {}
06-25 18:23:33 Node 0       INFO     Node ID: 0; DHT: True; Routing Table Nodes: {}; backupLocations: {}
06-25 18:23:36 Node 0       INFO     0: {'method': 'JOIN_REQ', 'args': {'addr': ('localhost', 5001), 'id': 1}}
06-25 18:23:36 Node 0       DEBUG    Node join: {'addr': ('localhost', 5001), 'id': 1}
06-25 18:23:36 Node 0       INFO     Node ID: 0; DHT: True; Routing Table Nodes: {1: ('localhost', 5001)}; backupLocations: {}
06-25 18:23:36 Node 0       INFO     Node ID: 0; DHT: True; Routing Table Nodes: {1: ('localhost', 5001)}; backupLocations: {}
06-25 18:23:36 Node 0       INFO     0: {'method': 'HELLO', 'args': {'addr': ('localhost', 5001), 'id': 1}, 'keystore': [('7fde', '016_Aveiro.jpg'), ('68bb', '014_Aveiro.jpg'), ('eebb', '01CanaldeSRoque1921.jpg'), ('2488', '013_Aveiro.jpg'), ('666c', '017_Aveiro.jpg'), ('8c41', '015_Aveiro.jpg'), ('ffcc', '01ApoloSet1921.jpg'), ('ad47', '018_Aveiro.jpg'), ('9911', '01AveiroSecXVIIIb.jpg'), ('ce45', '019_Aveiro.jpg')]}
06-25 18:23:36 Node 0       INFO     Node ID: 0; DHT: True; Routing Table Nodes: {1: ('localhost', 5001)}; backupLocations: {}
06-25 18:23:36 Node 0       INFO     Node ID: 0; DHT: True; Routing Table Nodes: {1: ('localhost', 5001)}; backupLocations: {}
06-25 18:23:37 Node 0       INFO     0: {'method': 'SEND_BACKUP', 'id': 1, 'request': <PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=950x829 at 0x7F6582F709A0>, 'info': ('7fde', '016_Aveiro.jpg')}
06-25 18:23:37 Node 0       INFO     Node ID: 0; DHT: True; Routing Table Nodes: {1: ('localhost', 5001)}; backupLocations: {}
06-25 18:23:38 Node 0       INFO     0: {'method': 'SEND_BACKUP', 'id': 1, 'request': <PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1200x808 at 0x7F6582E9D250>, 'info': ('68bb', '014_Aveiro.jpg')}
06-25 18:23:38 Node 0       INFO     Node ID: 0; DHT: True; Routing Table Nodes: {1: ('localhost', 5001)}; backupLocations: {}
06-25 18:23:38 Node 0       INFO     0: {'method': 'SEND_BACKUP', 'id': 1, 'request': <PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x692 at 0x7F6582F709A0>, 'info': ('eebb', '01CanaldeSRoque1921.jpg')}
06-25 18:23:38 Node 0       INFO     Node ID: 0; DHT: True; Routing Table Nodes: {1: ('localhost', 5001)}; backupLocations: {}
06-25 18:23:39 Node 0       INFO     0: {'method': 'SEND_BACKUP', 'id': 1, 'request': <PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=900x582 at 0x7F6582E9D250>, 'info': ('2488', '013_Aveiro.jpg')}
06-25 18:23:39 Node 0       INFO     Node ID: 0; DHT: True; Routing Table Nodes: {1: ('localhost', 5001)}; backupLocations: {}
